id;project_id;user_id;descriptions;created_at
0cf067bc-48e4-441b-a256-b1e80ddf4db2;66c3f0e5-d05c-4ef0-8c07-e805bf2a7a1b;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Atteindre 300 000 $ à 25 ans et me sentir fauché ? 🤯 Personne ne parle de ces 3 vérités brutales sur le chemin de la richesse. De la guerre des premiers 100k au pouvoir de l'offense (et pourquoi j'ai arrêté de m'inquiéter pour les lattes), je partage ce que j'ai vraiment appris. Spoiler : la liberté, ça n'a pas de prix. Découvre mon portefeuille exact dans la vidéo !""]";2025-11-21 04:26:44.062475+00
18f0713f-fed0-451a-a2dc-8fcfa5adfec3;66c3f0e5-d05c-4ef0-8c07-e805bf2a7a1b;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""L'auteur partage les trois leçons clés apprises en atteignant 300 000$ de valeur nette à 25 ans. Il aborde la difficulté des premiers 100 000$, l'importance d'augmenter ses revenus plutôt que de se concentrer sur de petites économies, et l'efficacité des placements ennuyeux comme les fonds indiciels.""]";2025-11-21 04:28:02.249159+00
1e4d0be7-b5de-44d4-82fe-3343c035c136;66c3f0e5-d05c-4ef0-8c07-e805bf2a7a1b;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Je partage mon expérience en atteignant un patrimoine net de 300 000 dollars à 25 ans. Je discute des trois leçons importantes que j'ai apprises concernant l'accumulation de cette somme, en abordant la croissance du capital, l'importance des revenus et la valeur des investissements simples à long terme.""]";2025-11-21 04:29:50.187398+00
a8f0bd66-0f43-453c-b2cf-5328ad016b0f;66c3f0e5-d05c-4ef0-8c07-e805bf2a7a1b;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I achieved a net worth of $300,000 at age 25 and learned three key lessons. The initial $100,000 is the most challenging to accumulate. Focusing on increasing income rather than just saving small amounts is more impactful. My portfolio primarily consists of broad market index funds, which supported my financial independence.""]";2025-11-21 04:35:27.956483+00
6b094d60-9f41-4e2f-9cbe-adb34cca149c;b740cbb5-f21b-4490-bb0b-821850827095;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I discuss the predictable patterns that occur before a market rally, examining biological responses to market downturns, the pitfalls of market timing, and how valuation metrics signal future market movements. I also provide practical strategies for navigating volatility and highlight why adopting a long-term perspective is crucial for investment success.""]";2025-11-21 06:10:04.760036+00
62eab52e-d91b-4bb3-bea0-5811bc2ad198;62b16a96-397d-4d18-aab2-7cf1994c7b8f;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I explain why the Vanguard Total Stock Market ETF (VTI) consistently outperforms nearly 98% of active investors over the long term. I discuss common behavioral biases that lead to suboptimal investment decisions and illustrate how a simple, consistent approach with VTI can lead to superior wealth accumulation compared to active stock picking.""]";2025-11-21 06:22:24.735287+00
3c8737ec-0954-4e8b-92fa-377698ea3bee;0c0fe1c4-e460-4d7b-ba15-cd71cb0b6ec1;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I explore why investing in your own earning power can yield significantly higher returns than traditional stock market investments. I discuss how strategic skill development, even with a small monthly investment, can lead to substantial income growth and provide actionable steps to identify and acquire high-ROI skills to build long-term financial resilience.""]";2025-11-21 07:22:54.685029+00
98e012ad-efba-414a-bbc7-112dba4ce6ab;ec7cd146-6278-4647-9aaa-76164e6b77e8;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I reveal the three critical financial principles adopted by 1,000 millionaires who achieved a seven-figure net worth before age 40. I analyze how their approaches to income, spending, and wealth accumulation differ from conventional advice, based on 18 months of data analysis. I explain how these individuals stopped trading time for money, comfortably lived on less than 50% of their gross income, and significantly increased their earnings in their late 20s and early 30s. I also address common psychological barriers and offer actionable steps to apply these strategies.""]";2025-11-21 09:14:36.887229+00
26e700dc-cd68-4e52-af12-2551930c764a;627d4015-9b76-451f-8c04-9315a728305d;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I tracked every dollar I earned and spent for five years to understand why smart people struggle financially. This video reveals key insights, including the difference between savings rate and capture rate, the impact of lifestyle inflation, and specific steps to build wealth through systematic financial capture, even with high-interest debt.""]";2025-11-21 09:35:34.202484+00
9b2da4e9-a36d-42b8-abe5-ca9e31adb785;d5ac6054-1b5d-4867-872a-818d728e83f6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I analyze every major Bitcoin crash since 2011, going beyond typical dips to examine the significant 70-99% downturns. I discuss phases like euphoria multiplication, unexpected catalysts, and demoralization, highlighting how market psychology and leverage contribute to these events. I also explore unique aspects of the current crash, including the impact of Bitcoin ETFs and institutional holdings, while offering actionable advice for different investor categories.""]";2025-11-21 10:17:00.142419+00
349843fd-bea7-4e97-ae9c-58004fd0fbe8;d5ac6054-1b5d-4867-872a-818d728e83f6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I analyze typical patterns in Bitcoin crashes, drawing parallels with historical data to understand market psychology. The video examines recurring phases of euphoria, unexpected catalysts, and demoralization, highlighting the significant role of leverage. I also discuss the new dynamics introduced by Bitcoin ETFs and institutional adoption, contrasting current events with past cycles and offering actionable strategies for investors based on their current position.""]";2025-11-21 10:46:17.912124+00
b757b60b-ac9f-4f75-a2c9-a48b373872fb;2a7c67ce-fb06-4aa8-8c93-fa2dd9251268;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Je partage l'histoire effrayante d'une abonnée qui a découvert des photos d'elle endormie sur le téléphone de son collègue. Cette vidéo raconte comment elle a réalisé qu'elle était sous surveillance constante dans son propre appartement, une histoire qui met en lumière les dangers des prédateurs cachés sous des apparences amicales.""]";2025-12-05 10:33:55.006845+00
5a2a4d53-b614-4203-b820-9f92bccffcd1;6417972b-4604-4dbd-9fd0-361b832cdc6c;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I share my 14-day experience using a continuous glucose monitor as a non-diabetic individual. I explore how blood sugar fluctuations impact energy, mood, and hunger, challenging common perceptions of healthy eating. I reveal unexpected insights into how different foods and meal compositions affect my glucose levels and offer practical strategies for stabilizing blood sugar without strict dieting.""]";2025-12-08 13:13:52.739886+00
43bf072b-9518-4289-9a63-d97fa7de6cf6;8da01a56-96ba-4601-b0a8-fc19321be9e9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I simulated a scenario where humanity was reduced to 100 people for three weeks. This video details my findings, revealing that the primary challenge for survival and rebuilding wasn't genetics or resources, but psychological resilience and social cohesion. I explored how a small population might navigate loss, leadership conflicts, and disease outbreaks over generations, drawing on demographic models, genetic diversity calculations, and psychological research, to understand humanity's true breaking points.""]";2025-12-08 20:31:05.693074+00
0855ffcb-913f-4442-8e53-1fefb23564b8;a43e607f-b1c1-4166-8e89-f686eb93ce56;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I explore the mechanisms by which large financial institutions might be influencing Bitcoin's price using legal methods. We discuss how debt structures and short-selling strategies, historically employed against companies and even nations, could be applied to major Bitcoin holders like MicroStrategy. My aim is to shed light on how these financial maneuvers, while not illegal, can create pressure and potentially enable institutions to acquire assets at a discount.""]";2025-12-09 09:15:15.424104+00
5f305d43-55da-48f1-8288-6e8ae7ae6c7b;8c29a75d-80f2-46ce-a7f3-451ed4e1106c;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""After a 7-day experiment where I replaced whole foods with so-called healthy cereals, I found significant drops in deep sleep and workout performance, alongside persistent hunger, despite matching my usual calorie intake. This video details my experience and explains why even seemingly healthy processed foods can negatively impact overall well-being, contrasting their effects with those of whole, unprocessed foods.""]";2025-12-09 10:29:58.557442+00
70dbcd63-95a3-456c-aa08-363e3cef052b;836f9fe7-54ed-4847-96f8-7ecc4da0af67;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explore the S&P 500 Index Fund's enduring resilience across market events and its unique operational mechanics. I discuss why this ETF consistently outperforms active management and how structural elements, psychological factors, and current economic conditions make it a compelling investment for 2026. I also cover potential risks and the overall strategy of 'doing nothing' for long-term wealth building.""]";2025-12-10 10:22:15.541301+00
1320bf45-c6fb-4248-bde5-8bb919d4fa72;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I explore nine signs indicating you might be wealthier than you perceive. I delve into common misconceptions about wealth measurement, emphasizing the impact of daily financial choices, compound growth, and delayed gratification. I provide actionable steps for building lasting wealth through automated savings, strategic investments, and avoiding debt, focusing on consistent, small actions over time.""]";2025-12-10 10:28:11.05585+00
965ddde6-d111-4279-8b75-b5071fa393a5;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I discuss common misconceptions about wealth and share nine signs that you might be wealthier than you think. I cover the power of small, consistent financial habits, the importance of avoiding lifestyle inflation, and practical steps to build lasting wealth, including automating savings and tracking net worth.""]";2025-12-10 10:36:06.124443+00
0ad8abe3-a326-4806-8827-c9aed82c5bb8;3331f31f-c665-4b9c-9ca4-08a2513747b9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""In this video, I explore the profound impact of ultra-processed foods on our health, drawing on patient experiences and scientific research. I discuss how these industrially formulated products, high in sugar, fat, and artificial additives, contribute to chronic hunger, weight gain, and various chronic diseases. I also present a 30-day whole foods challenge, demonstrating how focusing on real, unprocessed ingredients can lead to significant improvements in physical and mental well-being, reverse pre-diabetic markers, and reset taste preferences. My aim is to highlight the importance of re-evaluating our dietary choices and understanding their long-term health consequences.""]";2025-12-10 11:35:49.937463+00
5e346c7e-7afe-4b1b-981c-0c60747ad8af;ca7b77c1-6874-4526-a567-0c442b54efbe;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I discuss how a daily 20-minute morning walk can initiate a domino effect of healthier choices throughout your day. I explain the behavioral spillover effect, how it influences identity shifts, and impacts decision-making. I also cover the physiological benefits on stress, metabolism, and gut health, offering practical advice for implementation and consistency.""]";2025-12-10 11:40:52.92795+00
746e3737-713b-4e7b-a382-074b8c6a0dfc;ccb683aa-983b-450a-a718-06d8b229d323;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explored an alternative history where AI emerged in 1924, not the 21st century. My research outlines how this early AI solved major material problems like poverty and disease, leading to universal basic income and free energy by 1975. However, this progress also triggered a profound psychological crisis, with widespread purposelessness emerging by the late 1980s. I examine the societal implications of human dependency on AI and the philosophical questions surrounding meaning, creativity, and struggle in a world without material scarcity. I discuss how this scenario might inform our current approach to AI development.""]";2025-12-10 16:33:38.189504+00
0a53e3fb-f1da-4828-ac5a-d8f69f81f580;ccb683aa-983b-450a-a718-06d8b229d323;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Dave nous propose une réflexion fascinante sur ce qui se passerait si l'IA existait depuis 1924, et comment une utopie technologique pourrait paradoxalement mener à une crise psychologique profonde pour l'humanité.""]";2025-12-10 16:34:47.326253+00
deaeab60-8fd0-4f5d-8e67-1d9968747b80;ccb683aa-983b-450a-a718-06d8b229d323;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""J'ai passé trois mois à construire une histoire alternative où l'IA existe depuis 1924, et je partage ce que j'ai découvert sur ce que cela ferait à l'humanité.""]";2025-12-10 16:35:39.413591+00
3fbb7090-f70a-45ab-8d94-2f4d886d7e93;ccb683aa-983b-450a-a718-06d8b229d323;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explored an alternative timeline where AI emerged in 1924, revealing that while it solved material problems, it created a profound psychological crisis by stripping humanity of purpose.""]";2025-12-10 16:36:30.213576+00
7a3b9d61-9886-4d45-8b8c-c142a067aa6c;5236e120-c7f6-45a1-ad1d-41f9d290b500;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explored what our world might look like if artificial intelligence had been around since the 1920s, revealing a future far more unsettling and subtly transformed than I ever imagined.""]";2025-12-10 21:32:15.793355+00
3f8b668b-0f96-4273-a7ac-51ca30182b51;f0d33716-70ca-419c-ba09-946234726778;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""After three months of digging through data, I discovered that AI isn't a bubble like the financial media suggests, but rather a massive reallocation of capital toward a fundamental technological shift that's building the infrastructure for our future economic growth.""]";2025-12-11 09:11:21.477244+00
9aaea0a1-0375-4f20-971d-261bb44faab9;10887b37-9004-4f01-8867-4c093e1086df;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm exposing how narrative manipulation in the stock market leads to significant wealth destruction for individual investors, and revealing the red flags to help you avoid it.""]";2025-12-11 11:34:59.316151+00
afd482db-8ada-4b94-89b4-7567708ba703;93b2bead-f57d-41a5-9388-f05d491e77e6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm exposing how the food industry tricks us into consuming massive amounts of hidden sugar in apparently healthy products, and I'm sharing practical strategies to navigate this deceptive landscape.""]";2025-12-11 14:31:41.678616+00
1af2b62e-8f8a-48ef-a27c-1607b95237e1;55431e2c-ca7d-498f-b9fa-0d5c127353a1;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explore why we abandon the things we care about most and how we can stick with our goals instead of quitting.""]";2025-12-11 23:43:12.409343+00
5e7a2e60-f68d-486b-90d9-2a6e356862de;c125c603-dea7-4903-ae55-fdb5a9ff2952;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain why we repeatedly fall for the 'wrong' people in relationships and how our unconscious patterns, rooted in childhood experiences, drive these seemingly inexplicable attractions.""]";2025-12-11 23:46:35.989567+00
2f7dc919-4a79-42db-bff7-ba73271f7095;16c9ade9-71a2-41a3-89f1-b59f9bdf16be;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm explaining why most common habit-building advice is wrong and sharing a neuroscience-backed framework for building habits that actually stick.""]";2025-12-11 23:54:51.658984+00
4028e605-1b59-4bc5-a09e-f6637e60567c;929da4e2-ae10-4379-89a1-c6ba874bc2a7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm breaking down essential stock market terms and concepts to empower you to start investing and build wealth, even if you're a complete beginner.""]";2025-12-12 23:49:36.360733+00
ab0f517a-d496-4aa8-bc98-7f376d5776e6;d7a6218d-cc26-4dd0-9cd3-93ee7cf723f6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm going to share the actual differences between how wealthy people and normal people think about, manage, and invest their money, and how you can apply these principles to your own life.""]";2025-12-13 00:14:53.121852+00
adb1222d-3271-4a7c-8446-a5c1eee2566b;cfcd0ff6-3075-4443-a32a-a7e8f0fa3e89;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain how the conventional wisdom of diversification is actually preventing most people from building real wealth and why concentrating your efforts can lead to greater success.""]";2025-12-13 00:15:41.480996+00
7f2f22d9-7ed9-40f9-a7d5-cd924d5cbb16;aeddc42a-dd7b-4e96-a02a-91581dac48f7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain how being a \""lazy investor\"" and doing nothing can actually lead to better financial returns than actively managing your portfolio, exposing why market activity often leads to underperformance.""]";2025-12-14 20:50:29.32357+00
c22a001f-0778-467d-b4ae-df11c4cbda0c;020fb67a-7f35-4f25-a19d-a2a87bb01ca7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm revealing why creatine, a simple molecule your body produces less of after 30, can be a game-changer for people over 40, helping with everything from energy to muscle growth and fat loss, by discussing how it optimizes cellular energy.""]";2025-12-14 22:55:18.831246+00
54ec4f37-58cf-4f29-a329-a7ef94792cc9;ec0afd2f-722e-4825-9142-9fd690d9926d;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain the hidden gut imbalance that most diet plans completely ignore after 40 and why fixing it might be the single most important step you take this year.""]";2025-12-15 11:33:53.827986+00
a2fae260-255c-4f8a-859e-a1338c7595a2;fe7c382a-1ec7-4452-9b00-51ea8d41a2b6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm telling you a story about France's current economic crisis, how it mirrors historical patterns of economic collapse, and what it means for the global economy and your investments.""]";2025-12-15 14:30:37.617131+00
f54f46c7-7044-48a3-9796-303d97fbe130;86a95b57-7eaf-4995-aa9a-62b95dfc5e55;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain the \""Buy, Borrow, Die\"" strategy that billionaires use to avoid income taxes and how you can apply scaled-down versions of it to your own finances.""]";2025-12-15 15:24:04.143062+00
f3258190-692b-4cee-85a5-e7b5e408ca3f;d123ebc3-0b0c-4c82-a876-5e52477c44c1;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm explaining how the current gold market manipulation, driven by paper derivatives and fractional reserve banking, mirrors the 1968 London Gold Pool collapse, and what you need to do to protect your wealth when the system inevitably breaks.""]";2025-12-15 15:51:35.106171+00
3fc54c0d-2f3d-4220-8ebc-d224128f8e91;d123ebc3-0b0c-4c82-a876-5e52477c44c1;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm telling you a story about how gold markets were manipulated in 1968 and why I believe a similar pattern is playing out today, which could impact your gold investments.""]";2025-12-15 15:51:37.976128+00
9aa19ca8-f743-47e6-bef4-b309911451a9;b5406c26-a063-440f-97e6-b1a27023c547;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I explain how the current financial system, built on principles pioneered by John D. Rockefeller, is designed to extract wealth from regular people and how we can strategically navigate it.""]";2025-12-15 16:25:38.656514+00
0c2e3e42-c633-40e1-8a7e-aa90a50a7a9d;b0caad10-e9f6-474b-9248-2b70381fffd8;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm explaining how the US dollar's global dominance has created a financial trap for both China and the United States, and how you can prepare for the system's inevitable changes.""]";2025-12-15 16:32:27.892741+00
12a6ef7d-49d0-4ed3-a08e-8e38803ec26c;03f65527-0a40-43c4-b04c-dc0a16a6bb59;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm going to explain how a simple kitchen technique involving rice can completely change how your body processes carbohydrates, especially if you're over 40 and struggling with stubborn weight.""]";2025-12-15 22:36:05.086634+00
5ac9909a-346f-4de1-9393-a6515ccaaef1;eab67660-9add-4838-a750-758b345f5cf9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm explaining why your body changes after 40, specifically focusing on the critical role of collagen and how the supplement industry often misleads people about its proper use.""]";2025-12-15 22:43:02.227486+00
1ad63496-4bde-47b7-9e77-2a54b2692a17;eab67660-9add-4838-a750-758b345f5cf9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I'm going to explain how your body's collagen production changes after 40, why the supplement industry often misleads you, and the actual metabolic pattern that truly makes a difference.""]";2025-12-15 22:43:04.564976+00