id;project_id;user_id;titles;created_at
bcad86a2-a051-4fe4-879e-fad9a8d72cae;14d2f339-7cf2-492a-b00a-cb6211cb77dd;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about retirement that the PROS know"",""You Don't Need $1.5 Million to Retire (Here's Why)"",""Retirement Isn't An Age, It's A Cashflow Problem"",""What Happens When You Ignore The 4% Rule?"",""How $100K Can Fund Your Retirement (No Joke)""]";2025-11-20 14:04:57.635815+00
d6ceee05-4f7a-4613-8f77-ec3c231b956c;2e43c846-dc50-4437-bfd1-5ac1ee0567dc;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I Hit $300K at 25. Here's The TRUTH About Money."",""What They DON'T Tell You About Having $300,000"",""The ONE Sign You're Investing WRONG (I Almost Lost Everything)"",""How I Got $300,000 at 25 (Without a Degree)"",""My $300K Portfolio: 5 Warning Signs To Avoid""]";2025-11-20 16:01:13.464344+00
8808f52e-c43f-4ee3-b3f7-fb29e475d260;653a187b-8bbb-4e10-8a06-7ba59a783554;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I Saved $300,000 by 25. Here's How (No College, No Luck)"",""The TRUTH about wealth that the PROS know (I saved $300K)"",""7 Beginner Money Mistakes to Avoid (I saved $300K by 25)"",""If You're Broke at 25, You Need to Watch This (My $300K Secret)"",""How My 'Poverty Cap' Made Me $300,000 by 25""]";2025-11-20 17:07:12.116636+00
989ddf9a-c325-497c-814e-5520859dec55;66c3f0e5-d05c-4ef0-8c07-e805bf2a7a1b;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I hit $300K at 25 and felt BROKE. Here's why."",""The TRUTH about your first $300K nobody tells you."",""3 Brutal Lessons From My First $300,000."",""What I Wish I Knew BEFORE I Made $300,000."",""Stop Crying Over Lattes: How I REALLY Made $300K.""]";2025-11-21 04:47:02.56494+00
4dd2b4cc-f995-43fb-955e-4ed89688a58e;ae3f5f0d-9457-447b-a826-65896f5f9307;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about retirement the PROS know"",""How much money do you REALLY need to retire?"",""You don't need $1.5M to retire. Here's why."",""Retirement isn't an age, it's this simple math"",""What I Wish I Knew BEFORE planning for retirement""]";2025-11-21 04:50:39.853008+00
2d044089-1ae1-46d6-843c-874aa7b85d5a;62b16a96-397d-4d18-aab2-7cf1994c7b8f;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH About Investing That 98% Of PROS Ignore"",""This Is What ALWAYS Happens Before You Underperform The Market"",""How Doing LESS Work Gets You MORE Money (VTI Explained)"",""7 Beginner Investing Mistakes To Avoid (That Cost Millions)"",""What Happens When You Stop Trying To Beat The Market?""]";2025-11-21 06:21:05.76939+00
e2ecac3f-ca00-4391-8109-eab8b162302d;808ade22-1368-4b6c-a9ac-8d5f38473ab5;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Le secret d'Isabelle Mercier : une disparition sans fin ?"",""Elle appelle le 17 : Puis le SILENCE. Que s'est-il passé ?"",""La vérité sur Marie Duchamp que personne ne connaît"",""Ce qui arrive quand vous trahissez les puissants..."",""L'appel au 17 : Les derniers mots d'Isabelle Mercier""]";2025-12-03 12:20:52.569474+00
61c35ee7-7130-4bb6-80b7-493b5cecf20e;2a7c67ce-fb06-4aa8-8c93-fa2dd9251268;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""J'ai trouvé des photos de moi endormie sur le téléphone de mon collègue"",""Le gentil collègue qui me filmait en secret: l'histoire vraie"",""Ce qu'il a fait avec mon détecteur de fumée vous glaçera le sang"",""Elle a découvert des centaines de photos d'elle dans l'intimité"",""L'horreur d'être espionnée chez soi par son collègue""]";2025-12-05 10:33:37.993453+00
64964dfc-6971-4771-ab85-35028a5b3df1;2557679e-6c88-4eb7-8b7b-b306fd4b58da;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about $5 Smoothies that the PROS know"",""What Happens When You Drink a $5 Smoothie?"",""The ONE Sign Your 'Healthy' Smoothie is Poison"",""5 Warning Signs Your Cheap Smoothie Is Costing You THOUSANDS"",""I Tested Every FREE (and expensive) Smoothie: The REAL Cost""]";2025-12-05 14:41:21.858339+00
28ce32a2-7284-41b9-9e42-5f7cd460807e;6417972b-4604-4dbd-9fd0-361b832cdc6c;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I Wore a CGM For 14 Days. This Is What ALWAYS Happens Before a Crash"",""The TRUTH About Blood Sugar That Doctors Don't Tell You"",""7 Beginner Blood Sugar Mistakes to Avoid"",""What I Wish I Knew BEFORE Eating 'Healthy' Foods"",""How 1 Simple Change (Food Order) Ended My Afternoon Crashes""]";2025-12-08 13:02:30.390879+00
fc7330f8-aff5-4d03-9383-062aff07db19;907190e5-4736-4d7a-a4c6-62cfa25070ac;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Elle se réveille à 3h du matin : un inconnu la regardait dormir"",""La vérité terrifiante sur ce qui arrive quand vous vivez seule"",""J'ai ignoré mon instinct et un étranger est entré chez moi..."",""L'unique signe que quelqu'un est dans votre appartement à votre insu"",""Si vous vivez seule, vous DEVEZ regarder cette histoire""]";2025-12-08 16:02:04.965672+00
9d4f062e-46c5-498a-a104-7696b93a1372;24faa831-ec07-4a9c-9984-5c742c3b087e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What Happens When You Reduce Humanity to 100 People?"",""The TRUTH About Post-Apocalyptic Survival That Movies Get Wrong"",""I Simulated 100 Humans for 75 Years. Here's What Broke Them."",""The ONE Sign Humanity Would Collapse (It's Not What You Think)"",""We Put 100 Humans in a New World... You Won't Believe What Happened!""]";2025-12-08 21:24:42.929638+00
957acaa8-15bd-4740-aa4f-1ea5c055740f;a43e607f-b1c1-4166-8e89-f686eb93ce56;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about Bitcoin's price that the PROS know"",""What Happens When You Short a $60 Billion Bitcoin Holder?"",""If You're Buying Bitcoin, You Need to Watch This"",""The ONE Sign Bitcoin's Price Is Being Manipulated"",""What I Wish I Knew BEFORE Buying Bitcoin""]";2025-12-09 09:15:23.421189+00
6f563d6b-cb23-4fa0-8f3f-3e49ec065a2b;8c29a75d-80f2-46ce-a7f3-451ed4e1106c;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""I Replaced All Meals With Cereal For 7 Days... This Happened"",""The TRUTH about 'Healthy' Cereal (What PROS Know)"",""7 Beginner Cereal Mistakes That Ruined My Health"",""What Happens When You Only Eat 'Healthy' Cereal?"",""Why Your 'Healthy' Cereal Is Making You Fat & Tired""]";2025-12-09 10:30:14.262695+00
b1258232-4b31-4bbf-9b27-6ca23a4881b8;f0d33716-70ca-419c-ba09-946234726778;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about AI stocks that the PROS know"",""AI Isn't a Bubble: What Most People Don't Understand"",""What Happens When You Ignore The AI Revolution?"",""5 Warning Signs AI Is NOT a Bubble (And Why)"",""The ONLY AI Stocks With NO LIMITS (Infrastructure Revealed)""]";2025-12-09 23:40:21.524671+00
58e464b4-0984-45ba-af01-3a50f16cc4ba;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""You're Richer Than You Think: 9 Signs You're Building REAL Wealth"",""The TRUTH about wealth that the PROS know (It's Not Income)"",""What Happens When You Invest $150/Month? (The Math Will Shock You)"",""If You're Not Doing THIS, Your Wealth Will Never Grow"",""10 Small Shifts That Will Make You Richer Than 80% of Americans""]";2025-12-10 10:27:52.458751+00
7614f9eb-5cbe-418e-b6b5-792ac62040cd;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""You're Richer Than You Think (If You Do THESE 9 Things)"",""The TRUTH About Wealth That Most People Don't Know"",""What Happens When You Invest $150/Month for 7 Years?"",""9 Signs You're Building Wealth (Even If You Feel Broke)"",""Never Make These 4 Money Mistakes Again!""]";2025-12-10 10:34:03.559394+00
b252f724-e4b6-418f-8d53-7ce71aa3054a;3331f31f-c665-4b9c-9ca4-08a2513747b9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about 'healthy' food that the PROS know"",""What Happens When You Only Eat REAL Food for 30 Days?"",""If You're Eating This, You Need to Watch This"",""This Is What ALWAYS Happens Before Chronic Disease"",""5 Warning Signs Your 'Healthy' Diet Is Making You Sick""]";2025-12-10 11:35:36.746851+00
69d9c33b-fdb6-43d7-b4e0-5d11b9955257;ca7b77c1-6874-4526-a567-0c442b54efbe;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""This Is What ALWAYS Happens Before Healthier Choices"",""The TRUTH about Walking that PROS Know (It's Not Exercise)"",""What Doctors Understand About Health That Most People Don't"",""How 20 Minutes of Walking Can Change Your Entire Life"",""Never Believe These 4 Health Myths (Just Walk!)""]";2025-12-10 11:40:50.219112+00
9fea8c6e-05b2-422c-b03f-2853e89829e3;5236e120-c7f6-45a1-ad1d-41f9d290b500;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What Happens When AI Has Been Around Since 1920?"",""The TRUTH About AI: 100 Years Would Change EVERYTHING"",""I Locked Myself Away To See How AI Changed 100 Years Ago"",""Weirdest AI Timeline Ever Made… (1920s to Today)"",""What Authority Figures Understood About AI That We Forgot""]";2025-12-10 21:32:05.167416+00
edab2966-6c79-4e93-b7cb-22f92a218eec;f0d33716-70ca-419c-ba09-946234726778;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""AI Bubble? The TRUTH the PROS Know About NASDAQ's Surge"",""What Happens When You Ignore The AI Infrastructure Revolution?"",""Why Your AI Fears Are WRONG: This Is NOT a Bubble"",""The ONLY Way To Profit From AI (They Don't Want You To Know)"",""I Tested Every AI Bubble Claim. This is What I Found.""]";2025-12-11 09:11:19.777886+00
9d80867f-a692-4cab-b98a-6c6c0371a5df;10887b37-9004-4f01-8867-4c093e1086df;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about 'Hype Stocks' that the PROS know"",""What Happens When You Buy The 'Next Big Thing'?"",""7 Beginner Stock Investing Mistakes to Avoid"",""If You're Buying Hype Stocks, You Need to Watch This"",""This Is What ALWAYS Happens Before a Stock Crumbles""]";2025-12-11 11:34:58.101542+00
dbbbfa1b-b2d2-447f-ab4d-d57e6c9cd8fa;10887b37-9004-4f01-8867-4c093e1086df;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH About Hype Stocks That Wall Street HIDES"",""Weirdest Investments Ever Made... (You Won't Believe It)"",""7 Beginner Stock Mistakes to Avoid (Why You Lose Money)"",""What I Wish I Knew BEFORE Investing in 'Hot' Stocks"",""The ONE Sign a Stock Will Destroy Your Wealth""]";2025-12-11 11:42:15.899258+00
d3d6d807-3d02-4bb4-adbb-7a373a76edf2;55431e2c-ca7d-498f-b9fa-0d5c127353a1;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""You Quit Things You Care About Because You Care TOO MUCH"",""The TRUTH About Why You Quit (It's Not What You Think)"",""7 Beginner Mistakes to Avoid When Pursuing Your Passions"",""What Happens When You Care TOO Much About Your Goals?"",""Why You Self-Sabotage Your Dreams (The HIDDEN Reason)""]";2025-12-11 23:43:11.839255+00
64b61459-98cc-4c1d-aa12-447dca742e40;c125c603-dea7-4903-ae55-fdb5a9ff2952;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about why you're attracted to the WRONG people"",""What Happens When You Ignore Red Flags? (Science Explained)"",""7 Beginner Dating Mistakes to Avoid (You're Doing Them)"",""The ONE Sign You're Dating the Same Person (Again & Again)"",""How to Rewire Your Brain to Find REAL Love""]";2025-12-11 23:46:34.454667+00
71e807c8-583d-4503-b3d8-aa4f48e88140;16c9ade9-71a2-41a3-89f1-b59f9bdf16be;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about Habits that the PROS know"",""Why Your Brain Resists New Habits (It's Not Willpower!)"",""7 Beginner Habit Mistakes to Avoid (Backed by Neuroscience)"",""What Happens When You Actually Understand Habit Science?"",""The ONLY Habit System with NO LIMITS (Neuroscience Explained)""]";2025-12-11 23:54:56.500245+00
59649433-e634-4caa-b3b0-3eafc9752908;929da4e2-ae10-4379-89a1-c6ba874bc2a7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What (Authority Figures) Understood About (Problem) That We Forgot"",""The TRUTH about (Activity) that the PROS know"",""If You're (Best Practice), You Need to Watch This"",""How (Simple Action) (Major Result)"",""These SMALL SHIFTS cut 90% of the (Problems)""]";2025-12-12 23:49:42.848963+00
45799ef9-ee8c-4390-9867-29bdd479d3f8;929da4e2-ae10-4379-89a1-c6ba874bc2a7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What Authority Figures Understood About Investing That We Forgot"",""The TRUTH about Stocks that the PROS know (Beginner's Guide)"",""This 1-Minute Secret Makes You a Confident Investor"",""7 Beginner Investing Mistakes to Avoid (The Stock Market Explained)"",""How to Invest: The ONLY Guide with NO LIMITS (Start Today)""]";2025-12-12 23:49:53.605963+00
ed41cc51-6ab9-4e1e-85a7-e43d152c566e;929da4e2-ae10-4379-89a1-c6ba874bc2a7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What (Authority Figures) Understood About (Problem) That We Forgot"",""The TRUTH about (Activity) that the PROS know"",""If You're (Best Practice), You Need to Watch This"",""How (Simple Action) (Major Result)"",""These SMALL SHIFTS cut 90% of the (Problems)""]";2025-12-12 23:50:05.394254+00
061796f4-06b4-4ecb-932f-28f643e8b371;d7a6218d-cc26-4dd0-9cd3-93ee7cf723f6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about wealth that the PROS know (and you don't!)"",""What Wealthy Investors Understand That Most People Don't"",""What Happens When You Stop Playing Not to Lose?"",""Why Your Net Worth Looks Like a Sad Joke (and how to fix it)"",""6 Easy Shifts that Make Financial Freedom POSSIBLE""]";2025-12-13 00:14:51.650267+00
8c9b0711-cd6e-4312-a4e6-ba4b83a98653;cfcd0ff6-3075-4443-a32a-a7e8f0fa3e89;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about Diversification PROS DON'T TELL YOU"",""What Wealthy People UNDERSTAND That Most Don't"",""7 Beginner Wealth-Building Mistakes to AVOID"",""The ONE Sign Your Diversification is Holding You Back"",""How Concentrated Bets Build MILLIONS (Not Index Funds)""]";2025-12-13 00:15:30.697361+00
a8274f3c-c134-4b03-9d88-f83fcd3233dd;d7a6218d-cc26-4dd0-9cd3-93ee7cf723f6;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""What Wealthy People Understand That Most Don't (You're Missing This!)"",""The TRUTH About Money That Keeps You Poor (It's Not Income!)"",""7 Beginner Investing Mistakes That Guarantee You Lose Money"",""How (Simple Action) Creates Millionaires (You're Doing It Wrong!)"",""If You're Not Rich Yet, You Need to Watch This (Serious Truths)""]";2025-12-13 00:24:51.875729+00
44ca2dd6-ab72-4751-bbe4-08599e2fcba9;020fb67a-7f35-4f25-a19d-a2a87bb01ca7;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH about Creatine that PROS know (After 40)"",""What Doctors Don't Tell You About Creatine After 40"",""I Tested Creatine for 3 Months. This Happened (After 40)"",""Your Body After 40 IS Failing! 8 Mistakes & How to Fix Them"",""How 5g Creatine Changed My Body After 40 (Not for Muscles!)""]";2025-12-14 22:55:12.349023+00
5ebae484-4e16-468b-9b27-2a8c48bdf33d;86a95b57-7eaf-4995-aa9a-62b95dfc5e55;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""The TRUTH About Wealth: Why Billionaires Pay ZERO Tax"",""Buy, Borrow, Die: The Secret Billionaires Use to Pay No Tax"",""What Billionaires Understand About Taxes That We Don't"",""7 Beginner Tax Mistakes to Avoid (The Rich Never Make These)"",""How Billionaires Live Like Kings With Zero Taxable Income""]";2025-12-15 15:24:03.612874+00